Detailed Statistics Departures  
Origin Airport: San Francisco, CA: San Francisco International (SFO)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes)
"UA","12/20/2022","0190","N37422","HNL","18:55","19:12","349","345","17"
"UA","12/20/2022","0221","N38446","MCO","23:08","00:30","315","293","82"
"UA","12/20/2022","0300","N219UA","HNL","13:10","13:16","336","341","6"
"UA","12/20/2022","0372","N33286","PHX","16:35","16:28","123","107","-7"
"UA","12/20/2022","0436","N47517","BWI","22:59","22:56","312","310","-3"
"UA","12/20/2022","0447","N471UA","SEA","16:31","16:34","144","138","3"
"UA","12/20/2022","0451","N73445","ORD","14:00","13:56","258","254","-4"
"UA","12/20/2022","0476","N210UA","ORD","23:55","00:01","246","232","6"
"UA","12/20/2022","0487","N37536","IAD","10:50","10:45","304","287","-5"
"UA","12/20/2022","0505","N780UA","IAH","23:55","23:59","222","204","4"
"UA","12/20/2022","0568","N67845","DEN","11:00","11:07","162","165","7"
"UA","12/20/2022","0574","N846UA","SAT","18:32","18:31","207","191","-1"
"UA","12/20/2022","0583","N64844","IAH","05:15","05:05","233","238","-10"
"UA","12/20/2022","0605","N840UA","PDX","07:34","07:33","114","109","-1"
"UA","12/20/2022","0611","N26215","SBA","10:50","10:44","79","62","-6"
"UA","12/20/2022","0683","N407UA","EUG","19:00","19:03","100","88","3"
"UA","12/20/2022","0693","N803UA","ABQ","11:13","12:50","148","147","97"
"UA","12/20/2022","0729","N67815","ORD","16:44","16:39","250","231","-5"
"UA","12/20/2022","0753","N75436","ATL","10:45","10:41","282","262","-4"
"UA","12/20/2022","0762","N67846","IAH","11:02","11:07","235","213","5"
"UA","12/20/2022","0793","N37465","ORD","08:30","08:29","264","237","-1"
"UA","12/20/2022","1041","N73445","SAN","08:25","08:30","103","84","5"
"UA","12/20/2022","1049","N447UA","RNO","18:47","19:14","64","54","27"
"UA","12/20/2022","1082","N37514","LAX","16:10","16:04","96","81","-6"
"UA","12/20/2022","1111","N77510","LIH","08:33","08:50","361","340","17"
"UA","12/20/2022","1115","N62894","DEN","14:28","14:46","155","137","18"
"UA","12/20/2022","1124","N443UA","MCI","18:35","18:35","204","188","0"
"UA","12/20/2022","1167","N831UA","MSP","08:35","10:04","220","204","89"
"UA","12/20/2022","1175","N2140U","HNL","09:15","10:03","338","362","48"
"UA","12/20/2022","1200","N61881","LAX","18:45","18:51","96","87","6"
"UA","12/20/2022","1204","N494UA","PIT","22:18","22:17","290","274","-1"
"UA","12/20/2022","1216","N27421","DEN","18:45","18:39","156","143","-6"
"UA","12/20/2022","1248","N75854","ORD","06:30","06:23","257","238","-7"
"UA","12/20/2022","1273","N87527","OGG","11:13","11:17","348","338","4"
"UA","12/20/2022","1411","N27015","EWR","07:00","07:00","314","312","0"
"UA","12/20/2022","1428","N14118","EWR","14:30","14:25","333","311","-5"
"UA","12/20/2022","1435","N66837","IAH","14:44","14:40","230","212","-4"
"UA","12/20/2022","1442","N2251U","EWR","08:30","09:42","320","302","72"
"UA","12/20/2022","1509","N781UA","HNL","16:40","16:51","338","335","11"
"UA","12/20/2022","1513","N33286","SNA","10:57","10:53","97","85","-4"
"UA","12/20/2022","1559","N27515","PDX","19:10","19:10","114","112","0"
"UA","12/20/2022","1594","N438UA","SNA","16:42","16:37","93","83","-5"
"UA","12/20/2022","1620","N803UA","OMA","18:36","19:30","198","180","54"
"UA","12/20/2022","1665","N34137","BOS","23:30","23:49","337","324","19"
"UA","12/20/2022","1684","N76522","LIH","18:50","21:25","354","342","155"
"UA","12/20/2022","1721","N2644U","KOA","09:05","09:10","331","342","5"
"UA","12/20/2022","1723","N779UA","KOA","16:45","16:50","329","324","5"
"UA","12/20/2022","1745","N62849","IAH","13:06","13:11","234","224","5"
"UA","12/20/2022","1749","N213UA","OGG","16:59","17:22","332","321","23"
"UA","12/20/2022","1761","N75436","IAD","23:23","23:28","307","306","5"
"UA","12/20/2022","1770","N438UA","CMH","22:35","22:33","276","257","-2"
"UA","12/20/2022","1788","N846UA","PSP","13:17","13:30","95","78","13"
"UA","12/20/2022","1823","N481UA","DEN","16:08","16:04","152","148","-4"
"UA","12/20/2022","1825","N37518","DFW","13:25","13:35","214","192","10"
"UA","12/20/2022","1826","N776UA","DEN","08:40","09:59","156","137","79"
